uname='U+1F9DC', utitle='Русалка', ucode='🧜'
uname='U+1F9DD', utitle='Эльф', ucode='🧝'
uname='U+1F936', utitle='Миссис Клаус', ucode='🤶'
uname='U+1F9DF', utitle='Зомби', ucode='🧟'
uname='U+1F9B9', utitle='Суперзлодей', ucode='🦹'
uname='U+1F9B8', utitle='Супергерой', ucode='🦸'
uname='U+1F574', utitle='Парящий мужчина в деловом костюме', ucode='🕴'
uname='U+1F9CD', utitle='Стоящий человек', ucode='🧍'
uname='U+1F486', utitle='Массаж лица', ucode='💆'
uname='U+1F487', utitle='Стрижка волос', ucode='💇'
uname='U+1F483', utitle='Танцовщица', ucode='💃'
uname='U+1F46F', utitle='Женщина с кроличьими ушами', ucode='👯'
uname='U+1F57A', utitle='Танцующий мужчина', ucode='🕺'
uname='U+1F3C3', utitle='Бегун', ucode='🏃'
uname='U+1F6B6', utitle='Пешеход', ucode='🚶'
uname='U+1F9CE', utitle='Человек на коленях', ucode='🧎'
uname='U+1F9D7', utitle='Скалолаз', ucode='🧗'
uname='U+1F9D6', utitle='Человек в парной', ucode='🧖'
uname='U+1F939', utitle='Жонглирование', ucode='🤹'
uname='U+1F938', utitle='Делает колесо', ucode='🤸'
uname='U+1F93A', utitle='Фехтовальщик', ucode='🤺'
uname='U+1F93C', utitle='Борец, рестлер', ucode='🤼'
uname='U+1F93E', utitle='Гандбол', ucode='🤾'
uname='U+1F6A3', utitle='Вёсельная лодка', ucode='🚣'
uname='U+1F6B5', utitle='Горный велосипедист', ucode='🚵'
uname='U+1F6B4', utitle='Велосипедист', ucode='🚴'
uname='U+1F93D', utitle='Ватерполо', ucode='🤽'
uname='U+26F7', utitle='Лыжник', ucode='⛷'
uname='U+1F3CB', utitle='Штангист', ucode='🏋'
uname='U+26F9', utitle='Человек с мячом', ucode='⛹'
uname='U+1F3CC', utitle='Гольфист', ucode='🏌'
uname='U+1F3C2', utitle='Сноубордист', ucode='🏂'
uname='U+1F3C7', utitle='Лошадиные скачки', ucode='🏇'
uname='U+1F3CA', utitle='Пловец', ucode='🏊'
uname='U+1F3C4', utitle='Сёрфер', ucode='🏄'
uname='U+1F9D8', utitle='Человек в позе лотоса', ucode='🧘'
uname='U+1F6CC', utitle='Спальные места', ucode='🛌'
uname='U+1F6C0', utitle='Человек в ванне', ucode='🛀'
uname='U+1F48F', utitle='Поцелуй', ucode='💏'
uname='U+1F46C', utitle='Два мужчины держатся за руки', ucode='👬'
uname='U+1F46A', utitle='Семья', ucode='👪'
uname='U+1F46D', utitle='Две женщины держатся за руки', ucode='👭'
uname='U+1F46B', utitle='Мужчина и женщина держатся за руки', ucode='👫'
uname='U+1F491', utitle='Любящая пара', ucode='💑'
uname='U+1FAC2', utitle='Обнимающиеся люди', ucode='🫂'
uname='U+1F464', utitle='Силуэт бюста', ucode='👤'
uname='U+1F463', utitle='Отпечатки ног', ucode='👣'
uname='U+1F5E3', utitle='Силуэт говорящей головы', ucode='🗣'
uname='U+1F465', utitle='Силуэт двух бюстов', ucode='👥'
uname='U+1F3FD', utitle='Эмоджи модификатор для шкалы фицпатрика тип-4', ucode='🏽'
uname='U+1F3FC', utitle='Эмоджи модификатор для шкалы фицпатрика тип-3', ucode='🏼'
uname='U+1F3FB', utitle='Эмоджи модификатор для шкалы фицпатрика типы-1-2', ucode='🏻'
uname='U+1F3FE', utitle='Эмоджи модификатор для шкалы фицпатрика тип-5', ucode='🏾'
uname='U+1F3FF', utitle='Эмоджи модификатор для шкалы фицпатрика тип-6', ucode='🏿'
uname='U+1F9B3', utitle='Компонент эмоджи белые волосы', ucode='🦳'
uname='U+1F9B2', utitle='Компонент эмоджи лысина', ucode='🦲'
uname='U+1F9B0', utitle='Компонент эмоджи красные волосы', ucode='🦰'
uname='U+1F9B1', utitle='Компонент эмоджи вьющиеся волосы', ucode='🦱'
uname='U+1F43F', utitle='Бурундук', ucode='🐿'
uname='U+1F42E', utitle='Морда коровы', ucode='🐮'
uname='U+1F42D', utitle='Мордочка мыши', ucode='🐭'
uname='U+1F42B', utitle='Двугорбый верблюд (бактриан)', ucode='🐫'
uname='U+1F42A', utitle='Одногорбый верблюд (дромадер)', ucode='🐪'
uname='U+1F42F', utitle='Морда тигра', ucode='🐯'
uname='U+1F98F', utitle='Носорог', ucode='🦏'
uname='U+1F98D', utitle='Горилла', ucode='🦍'
uname='U+1F98C', utitle='Олень', ucode='🦌'
uname='U+1F98A', utitle='Морда лисы', ucode='🦊'
uname='U+1F992', utitle='Морда жирафа', ucode='🦒'
uname='U+1F400', utitle='Крыса', ucode='🐀'
uname='U+1F428', utitle='Коала', ucode='🐨'
uname='U+1F998', utitle='Кенгуру', ucode='🦘'
uname='U+1F987', utitle='Летучая мышь', ucode='🦇'
uname='U+1F40E', utitle='Лошадь', ucode='🐎'
uname='U+1F410', utitle='Коза', ucode='🐐'
uname='U+1F40F', utitle='Овен', ucode='🐏'
uname='U+1F412', utitle='Обезьяна', ucode='🐒'
uname='U+1F411', utitle='Овца', ucode='🐑'
uname='U+1F415', utitle='Собака', ucode='🐕'
uname='U+1F416', utitle='Свинья', ucode='🐖'
uname='U+1F417', utitle='Кабан', ucode='🐗'
uname='U+1F993', utitle='Морда зебры', ucode='🦓'
uname='U+1F431', utitle='Морда кота', ucode='🐱'
uname='U+1F9A3', utitle='Мамонт', ucode='🦣'
uname='U+1F99B', utitle='Бегемот', ucode='🦛'
uname='U+1F430', utitle='Морда кролика', ucode='🐰'
uname='U+1F99D', utitle='Енот', ucode='🦝'
uname='U+1F429', utitle='Пудель', ucode='🐩'
uname='U+1F994', utitle='Еж', ucode='🦔'
uname='U+1F401', utitle='Мышь', ucode='🐁'
uname='U+1F404', utitle='Корова', ucode='🐄'
uname='U+1F435', utitle='Морда обезьяны', ucode='🐵'
uname='U+1F406', utitle='Леопард', ucode='🐆'
uname='U+1F405', utitle='Тигр', ucode='🐅'
uname='U+1F407', utitle='Кролик', ucode='🐇'
uname='U+1F408', utitle='Кот', ucode='🐈'
uname='U+1F984', utitle='Морда единорога', ucode='🦄'
uname='U+1F418', utitle='Слон', ucode='🐘'
uname='U+1F403', utitle='Буйвол', ucode='🐃'
uname='U+1F434', utitle='Морда лошади', ucode='🐴'
uname='U+1F402', utitle='Вол', ucode='🐂'
uname='U+1F436', utitle='Морда собаки', ucode='🐶'
uname='U+1F437', utitle='Морда свиньи', ucode='🐷'
uname='U+1F9A1', utitle='Барсук', ucode='🦡'
uname='U+1F9A5', utitle='Ленивец', ucode='🦥'
uname='U+1F9A7', utitle='Орангутан', ucode='🦧'
uname='U+1F9A6', utitle='Выдра', ucode='🦦'
uname='U+1F999', utitle='Лама', ucode='🦙'
uname='U+1F9A8', utitle='Скунс', ucode='🦨'
uname='U+1F439', utitle='Морда хомяка', ucode='🐹'
uname='U+1F9AB', utitle='Бобер', ucode='🦫'
uname='U+1F9AE', utitle='Собака-поводырь', ucode='🦮'
uname='U+1F43D', utitle='Нос свиньи (пятачок)', ucode='🐽'
uname='U+1F43E', utitle='Следы лап', ucode='🐾'
uname='U+1F43C', utitle='Морда панды', ucode='🐼'
uname='U+1F43B', utitle='Морда медведя', ucode='🐻'
uname='U+1F43A', utitle='Морда волка', ucode='🐺'
uname='U+1F981', utitle='Львиная морда', ucode='🦁'
uname='U+1F9AC', utitle='Бизон', ucode='🦬'
uname='U+1F423', utitle='Вылупившийся цыплёнок', ucode='🐣'
uname='U+1F414', utitle='Курица', ucode='🐔'
uname='U+1F424', utitle='Цыплёнок', ucode='🐤'
uname='U+1F54A', utitle='Голубь мира', ucode='🕊'
uname='U+1F9A9', utitle='Фламинго', ucode='🦩'
uname='U+1F425', utitle='Цыплёнок в анфас', ucode='🐥'
uname='U+1F9A2', utitle='Лебедь', ucode='🦢'
uname='U+1F9A4', utitle='Додо (маврикийский дронт)', ucode='🦤'
uname='U+1F427', utitle='Пингвин', ucode='🐧'
uname='U+1F426', utitle='Птица', ucode='🐦'
uname='U+1F413', utitle='Петух', ucode='🐓'
uname='U+1F99C', utitle='Попугай', ucode='🦜'
uname='U+1F99A', utitle='Павлин', ucode='🦚'
uname='U+1F983', utitle='Индюк', ucode='🦃'
uname='U+1F985', utitle='Орёл', ucode='🦅'
uname='U+1F989', utitle='Сова', ucode='🦉'
uname='U+1FAB6', utitle='Перо', ucode='🪶'
uname='U+1F986', utitle='Утка', ucode='🦆'
uname='U+1F438', utitle='Морда лягушки', ucode='🐸'
uname='U+1F40D', utitle='Змея', ucode='🐍'
uname='U+1F98E', utitle='Ящерица', ucode='🦎'
uname='U+1F422', utitle='Черепаха', ucode='🐢'
uname='U+1F40A', utitle='Крокодил', ucode='🐊'
uname='U+1F995', utitle='Зауропод', ucode='🦕'
uname='U+1F996', utitle='Тиранозавр', ucode='🦖'
uname='U+1F409', utitle='Дракон', ucode='🐉'
uname='U+1F432', utitle='Морда дракона', ucode='🐲'
uname='U+1F9AD', utitle='Тюлень', ucode='🦭'
uname='U+1F40B', utitle='Кит', ucode='🐋'
uname='U+1F988', utitle='Акула', ucode='🦈'
uname='U+1F41A', utitle='Закрученная раковина', ucode='🐚'
uname='U+1F433', utitle='Кит выпускающий струю', ucode='🐳'
uname='U+1F41F', utitle='Рыба', ucode='🐟'
uname='U+1F419', utitle='Осьминог', ucode='🐙'
uname='U+1F42C', utitle='Дельфин', ucode='🐬'
uname='U+1F421', utitle='Иглобрюхая рыба', ucode='🐡'
uname='U+1F420', utitle='Тропическая рыба', ucode='🐠'
uname='U+1F98B', utitle='Бабочка', ucode='🦋'
uname='U+1F997', utitle='Сверчок', ucode='🦗'
uname='U+1F99F', utitle='Москит', ucode='🦟'
uname='U+1F9A0', utitle='Микроб', ucode='🦠'
uname='U+1FAB1', utitle='Червяк', ucode='🪱'
uname='U+1FAB2', utitle='Жук', ucode='🪲'
uname='U+1FAB3', utitle='Таракан', ucode='🪳'
uname='U+1F982', utitle='Скорпион', ucode='🦂'
uname='U+1FAB0', utitle='Муха', ucode='🪰'
uname='U+1F41D', utitle='Медоносная пчела', ucode='🐝'
uname='U+1F41E', utitle='Божья коровка', ucode='🐞'
uname='U+1F41B', utitle='Жук', ucode='🐛'
uname='U+1F41C', utitle='Муравей', ucode='🐜'
uname='U+1F578', utitle='Паутина', ucode='🕸'
uname='U+1F40C', utitle='Улитка', ucode='🐌'
uname='U+1F577', utitle='Паук', ucode='🕷'
uname='U+1F339', utitle='Роза', ucode='🌹'
uname='U+1F4AE', utitle='Белый цветок', ucode='💮'
uname='U+1F337', utitle='Тюльпан', ucode='🌷'
uname='U+1F33A', utitle='Гибискус', ucode='🌺'
uname='U+1F3F5', utitle='Розочка', ucode='🏵'
uname='U+1F33C', utitle='Цветок', ucode='🌼'
uname='U+1F33B', utitle='Подсолнечник', ucode='🌻'
uname='U+1F490', utitle='Букет', ucode='💐'
uname='U+1F940', utitle='Поникший цветок', ucode='🥀'
uname='U+1F338', utitle='Цветок сакуры', ucode='🌸'
uname='U+1F332', utitle='Вечнозеленое дерево', ucode='🌲'
uname='U+1F333', utitle='Лиственное дерево', ucode='🌳'
uname='U+1F334', utitle='Пальма', ucode='🌴'
uname='U+1F335', utitle='Кактус', ucode='🌵'
uname='U+1F33E', utitle='Колос риса', ucode='🌾'
uname='U+1F340', utitle='Клевер с четырьмя листьями', ucode='🍀'
uname='U+1F331', utitle='Саженец', ucode='🌱'
uname='U+1F342', utitle='Опавший лист', ucode='🍂'
uname='U+1F343', utitle='Лист, летящий по ветру', ucode='🍃'
uname='U+1F341', utitle='Кленовый лист', ucode='🍁'
uname='U+1F33F', utitle='Трава', ucode='🌿'
uname='U+2618', utitle='Трилистник', ucode='☘'
uname='U+1FAB4', utitle='Комнатное растение в горшке', ucode='🪴'
uname='U+1F95D', utitle='Киви', ucode='🥝'
